Date,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2017",9.90,10.31,8.98,9.87,"40,154,600","973,696,000"
"Sep 16, 2017",9.96,10.65,9.34,9.93,"66,155,100","979,204,000"
"Sep 15, 2017",8.13,10.39,6.57,9.95,"156,528,000","798,813,000"
"Sep 14, 2017",10.58,11.06,7.67,8.08,"95,558,500","1,040,220,000"
"Sep 13, 2017",11.68,11.70,9.55,10.61,"85,896,500","1,148,450,000"
"Sep 12, 2017",11.37,13.45,11.21,11.59,"130,591,000","1,117,370,000"
"Sep 11, 2017",11.42,11.98,11.09,11.33,"37,733,800","1,122,960,000"
"Sep 10, 2017",12.29,12.29,10.76,11.40,"53,265,800","1,207,860,000"
"Sep 09, 2017",11.38,12.22,10.88,12.22,"63,245,300","1,118,990,000"
"Sep 08, 2017",12.91,13.39,10.66,11.45,"99,091,800","1,268,790,000"
"Sep 07, 2017",11.65,13.53,10.77,12.87,"153,192,000","1,145,440,000"
"Sep 06, 2017",10.96,11.79,10.49,11.64,"95,001,000","1,077,300,000"
"Sep 05, 2017",8.68,11.28,7.60,10.98,"111,430,000","852,870,000"
"Sep 04, 2017",10.55,10.55,7.31,8.78,"159,979,000","1,037,440,000"
"Sep 03, 2017",10.79,11.37,9.64,10.57,"68,616,800","1,060,760,000"
"Sep 02, 2017",11.99,11.99,9.96,10.80,"93,561,000","1,178,610,000"
"Sep 01, 2017",11.73,12.52,11.63,11.97,"91,962,400","1,153,390,000"
"Aug 31, 2017",11.17,12.08,10.78,11.74,"89,710,200","1,098,470,000"
"Aug 30, 2017",9.49,11.67,9.30,11.07,"194,613,000","932,958,000"
"Aug 29, 2017",8.58,9.62,8.45,9.46,"86,155,000","843,249,000"
"Aug 28, 2017",8.33,8.93,8.15,8.59,"52,390,300","819,005,000"
"Aug 27, 2017",8.29,8.37,8.03,8.33,"22,915,000","815,412,000"
"Aug 26, 2017",8.26,8.33,7.85,8.28,"25,661,900","812,289,000"
"Aug 25, 2017",8.38,8.46,8.04,8.27,"24,205,300","823,620,000"
"Aug 24, 2017",8.20,8.39,7.97,8.37,"31,284,200","806,267,000"
"Aug 23, 2017",7.61,8.66,7.58,8.24,"64,455,600","748,515,000"
"Aug 22, 2017",7.67,7.76,6.96,7.62,"41,423,400","753,880,000"
"Aug 21, 2017",8.45,8.60,7.34,7.67,"71,569,400","830,536,000"
"Aug 20, 2017",7.76,8.84,7.17,8.44,"74,687,700","762,542,000"
"Aug 19, 2017",7.31,7.93,6.42,7.80,"70,997,400","718,510,000"
